Reference,NbReceptionDerniersMois,QteReceptionneeDerniersMois,NbReceptionMois2,QteReceptionneeMois2,NbReceptionMois3,QteReceptionneeMois3
REF-106562,10,3783,27,4677,7,2927
REF-101142,58,4255,24,5050,9,4379
REF-121024,21,4368,5,2209,3,1303
REF-104864,33,3369,13,2286,8,1877
REF-122461,4,1706,7,1498,4,1853
REF-100592,14,4399,15,3658,18,3893
REF-117461,7,2639,11,1860,6,1670
REF-124490,13,2991,41,2264,5,1989
REF-117206,6,3022,4,2293,5,1553
REF-105176,10,1531,20,1594,15,1459
REF-105452,4,1669,3,1400,1,709
REF-116840,11,3799,11,2066,6,2165
REF-134685,4,1754,4,1538,1,973
REF-109767,42,3512,5,2384,25,2755
REF-106233,4,1497,6,1353,2,1177
REF-131470,26,2693,49,2683,21,2906
REF-125343,10,1002,4,801,1,686
REF-120959,12,2742,6,2554,8,2455
REF-109621,6,2323,5,2716,8,1824
REF-149645,12,4858,8,3195,17,3957
REF-126265,30,1745,4,1072,2,1264
REF-123186,10,3084,16,3126,10,1636
REF-116459,1,685,1,604,1,552
REF-138889,38,4323,11,3967,12,3243
REF-122258,6,2840,7,3542,11,2783
REF-124750,3,1736,7,911,3,1030
REF-102853,6,1907,17,967,4,905
REF-100267,2,1001,3,1183,3,1387
REF-117257,5,2741,8,3250,5,1992
REF-114761,12,1763,4,1885,9,1603
REF-130065,12,2163,10,2659,27,2190
REF-124129,22,4971,16,5048,9,3156
REF-136787,13,2741,14,3508,41,2615
REF-140324,10,3112,4,2013,26,2070
REF-115791,10,4063,36,2485,6,2677
REF-101504,29,4074,12,5149,8,3036
REF-101297,7,3498,10,2206,6,2244
REF-119983,1,410,1,369,1,203
REF-122779,9,3402,18,1902,4,1908
REF-121172,12,3987,6,2636,17,2540
REF-107667,1,125,1,162,1,85
REF-133080,46,4775,11,3263,15,4135
REF-116630,18,3222,8,2286,4,1218
REF-120477,6,2765,6,1522,7,819
REF-116139,14,2727,20,2327,16,2034
REF-146011,10,1979,5,1883,6,2165
REF-132921,59,3707,11,4021,11,5051
REF-121688,3,720,1,504,1,511
REF-128541,1,318,1,291,1,239
REF-105358,18,4314,6,2592,7,1909
REF-116625,2,1274,12,1265,11,1538
REF-115814,3,1506,4,1283,2,1194
REF-116604,1,279,2,328,1,249
REF-128939,24,4320,9,3164,20,3709
REF-142421,8,2101,14,2289,6,2674
REF-119579,48,4177,53,4915,12,4070
REF-145466,32,4361,10,4109,10,2682
REF-136008,55,3013,7,2855,9,2406
REF-127984,5,1328,10,1690,7,1926
REF-119610,1,238,2,161,1,147
REF-125666,2,1093,2,675,1,501
REF-142847,44,3513,6,2409,12,2238
REF-130811,13,4424,7,2444,15,2679
REF-100305,5,2122,5,2309,5,2022
REF-125560,2,374,1,219,1,246
REF-111514,16,3869,27,5026,9,4488
REF-116193,3,1964,5,1713,4,1496
REF-134620,5,680,2,799,8,845
REF-149090,12,2148,3,1404,2,956
REF-102855,10,3074,6,2993,8,2878
REF-120888,8,1078,5,1298,6,963
REF-124700,16,4524,63,4606,9,4778
REF-109097,11,4385,31,3042,7,3600
REF-107881,5,2402,24,2408,16,1930
REF-112806,14,4906,9,3823,32,3605
REF-108129,5,2522,9,2737,8,3237
REF-135333,3,1062,4,928,1,565
REF-144927,10,1522,5,1071,2,1070
REF-142373,3,352,1,273,2,211
REF-141027,3,1280,7,1169,10,1140
REF-136344,27,4920,44,5991,33,4688
REF-109255,1,751,1,535,1,500
REF-145079,4,851,3,1059,12,902
REF-108573,1,167,1,181,1,142
REF-135394,23,4388,17,5230,30,4219
REF-145611,3,291,1,341,1,226
REF-111864,28,1824,2,1062,3,1093
REF-149132,5,1637,8,1789,2,1264
REF-124109,5,2332,5,1738,3,1019
REF-143877,1,218,1,254,2,290
REF-122890,7,2459,5,2704,12,1884
REF-139024,13,3393,8,2774,6,2334
REF-131193,19,4129,11,2578,16,2608
REF-115208,17,3038,6,2866,14,2580
REF-112698,5,1599,11,1524,3,920
REF-139139,3,762,3,985,12,1176
REF-143145,7,3131,20,3852,13,4459
REF-104785,4,1295,5,1680,3,1505
REF-113165,1,668,1,776,3,823
REF-102863,10,4040,16,2536,4,1616
REF-115507,32,4961,14,6247,79,5327
REF-137821,14,3016,14,3252,5,2789
REF-145625,14,4228,30,5436,6,2781
REF-116600,16,3695,72,4148,12,5166
REF-135806,3,1470,9,1712,9,1875
REF-109088,25,2365,3,1464,6,1335
REF-119557,12,4145,38,5018,21,2550
REF-137860,6,1988,18,2096,10,2304
REF-128065,2,921,2,981,5,725
REF-116594,1,259,2,293,1,367
REF-115679,1,190,1,131,1,117
REF-109670,2,1190,3,901,4,824
REF-103292,1,29,1,22,1,11
REF-119098,9,4761,16,4033,16,3030
REF-102158,15,2778,3,1553,9,784
REF-140111,44,3014,56,3131,16,3179
REF-122170,3,1103,5,1142,23,1403
REF-111335,1,416,4,454,1,258
REF-108414,7,3627,10,3078,4,1644
REF-132155,1,878,1,643,1,340
REF-144620,13,3587,33,3222,10,2596
REF-122982,6,2297,6,2621,37,1921
REF-139257,2,1021,2,654,1,737
REF-129156,6,1569,5,993,6,1284
REF-115794,14,3474,7,3296,18,2444
REF-117147,3,1289,2,1270,12,1222
REF-134980,4,2120,10,2547,7,2575
REF-139647,7,3425,7,3331,15,3297
REF-131590,4,1803,4,1514,10,1332
REF-105106,14,3501,58,3291,8,3291
REF-102253,4,1598,2,1009,2,981
REF-141184,7,2096,4,2251,23,2527
REF-146265,17,4002,69,4181,15,2954
REF-117815,2,216,2,263,1,245
REF-127192,5,1241,2,632,1,786
REF-105760,10,4290,31,4284,12,5517
REF-147630,8,3739,21,2685,4,1598
REF-139381,16,2498,7,2137,3,1271
REF-104941,15,4215,6,2842,5,2204
REF-114964,11,2476,9,1587,13,1623
REF-134034,37,3807,9,3280,24,3722
REF-149544,2,982,2,932,2,1005
REF-141987,11,1889,9,1179,2,677
REF-110290,13,4658,15,2481,3,1443
REF-146524,5,2722,26,3133,8,3367
REF-101136,10,1706,3,1042,3,1024
REF-124486,12,1688,2,1079,4,728
REF-104750,5,636,1,344,3,404
REF-137558,23,4509,7,2797,52,3528
REF-145235,4,1203,6,1351,24,1564
REF-140540,23,2094,16,1756,5,2159
REF-138283,8,2772,13,1811,4,2178
REF-132452,14,4693,21,3562,14,2109
REF-140474,10,3551,15,2648,6,2600
REF-119897,16,4816,13,3640,9,2662
REF-114028,24,2963,6,2134,14,1408
REF-106389,4,1296,3,981,8,735
REF-132494,2,844,9,790,3,823
REF-127632,78,4837,7,3547,13,3575
REF-119671,27,3140,14,3901,25,2781
REF-137418,9,4333,13,5358,9,3093
REF-106949,21,3104,8,1702,3,1085
REF-114174,8,1799,23,1888,11,1586
REF-100054,8,3112,28,3973,23,3198
REF-104892,7,1516,2,1369,7,1407
REF-139042,11,4905,11,5820,19,6350
REF-131057,7,1009,1,694,1,445
REF-112617,3,325,1,244,1,178
REF-116192,1,651,5,767,3,939
REF-136626,8,4144,7,3517,28,1989
REF-105262,5,1897,4,1177,10,1361
REF-141972,8,2768,5,2238,5,1729
REF-133756,5,1674,7,1927,6,1762
REF-108937,18,3255,71,4195,11,2422
REF-125015,17,3758,6,1968,8,2496
REF-122165,64,3690,20,3590,41,3498
REF-103491,7,3021,4,1536,2,1093
REF-117790,3,1321,6,1349,2,1259
REF-144399,1,947,22,1229,6,940
REF-148129,7,2212,22,2160,14,1809
REF-101093,2,1187,2,886,17,1021
REF-105019,22,3608,9,2335,3,1503
REF-130917,9,3840,27,3949,5,2462
REF-138538,10,4210,16,2164,3,1333
REF-100082,15,4019,11,3340,9,2604
REF-101494,9,2471,6,2212,4,1919
REF-109555,4,1741,3,1279,6,1650
REF-130285,6,2135,15,2677,16,2980
REF-133918,17,3117,8,3152,14,2288
REF-127574,27,4675,51,3479,54,3110
REF-112039,2,978,4,918,5,1074
REF-126794,5,1840,3,1683,3,1331
REF-145425,22,4742,12,3688,14,3680
REF-142058,4,1736,6,1952,9,1531
REF-123919,4,1992,8,2102,14,2085
REF-118796,4,1524,5,1638,2,1034
REF-107843,3,1075,21,1152,5,694
REF-117803,8,2836,18,1452,2,978
REF-111900,30,1593,10,1302,14,1044
REF-108640,3,601,2,755,3,898
REF-125849,10,2704,3,1733,2,1089
REF-128057,9,3739,14,2712,6,2585
REF-103921,3,774,5,485,2,304
REF-139819,1,99,1,62,1,58
REF-105305,11,4814,18,5697,75,6150
REF-103343,1,284,1,210,1,171
REF-120786,1,468,1,293,4,327
REF-104238,9,4686,22,5521,7,2910
REF-105543,31,4572,28,4552,17,3565
REF-116233,36,4605,13,5685,29,4506
REF-142576,1,241,2,153,1,153
REF-148416,26,1405,4,1046,4,1353
REF-113594,4,1321,1,800,1,490
REF-141250,1,104,1,95,1,106
REF-139196,4,2092,7,1813,14,1094
REF-116475,5,1439,5,1479,8,1874
REF-102772,26,3726,10,3782,16,3217
REF-107012,10,3344,23,3359,8,2025
REF-134525,8,518,1,389,1,206
REF-142193,1,677,4,354,1,264
REF-124153,12,1843,9,2208,17,2314
REF-102762,1,655,9,598,2,748
REF-118871,2,783,6,921,4,991
REF-108723,1,391,1,255,1,216
REF-109350,2,177,1,218,1,136
REF-135574,68,4937,12,2860,5,2669
REF-119813,7,3763,34,1947,25,1900
REF-114190,20,3688,16,4576,44,3610
REF-105132,16,4961,24,2836,53,3116
REF-102090,14,4903,7,3301,6,2866
REF-110547,6,2607,33,3084,3,1548
REF-107880,5,1856,4,1816,19,2284
REF-110329,8,1163,4,818,4,466
REF-125505,2,729,9,598,1,415
REF-127204,22,3765,9,3666,9,4379
REF-111992,39,3492,25,4231,23,2175
REF-145810,17,3867,17,3144,26,3662
REF-122929,2,427,3,395,1,362
REF-120279,13,4193,10,2704,7,2940
REF-136740,23,2828,7,1604,3,821
REF-144909,3,1481,6,1704,2,1104
REF-141584,4,771,3,448,3,528
REF-136131,5,343,1,333,1,308
REF-112823,4,1243,7,1049,4,670
REF-143869,2,771,2,972,3,750
REF-103256,1,823,4,947,4,558
REF-147893,1,139,1,118,1,72
REF-139269,17,3534,11,3387,30,3140
REF-104848,11,2643,6,2544,9,3166
REF-133155,40,3933,19,4558,19,5154
REF-112293,12,2924,10,2011,5,1634
REF-149601,3,1123,7,786,1,637
REF-136068,1,227,1,218,1,172
REF-127969,8,3807,27,3079,10,3569
REF-142451,5,2002,9,2418,5,2626
REF-140543,3,261,1,284,1,307
REF-127010,14,2964,8,3012,25,1910
REF-148362,9,3728,26,3596,8,4436
REF-134642,5,1807,2,1409,3,790
REF-110366,52,4027,27,3197,12,3561
REF-122418,13,2347,3,1479,8,1297
REF-120209,3,957,1,569,1,632
REF-143485,7,3022,63,3567,25,3504
REF-143310,30,4196,5,2111,28,2346
REF-113045,3,618,4,615,2,578
REF-110945,1,202,1,201,1,167
REF-117483,4,2424,7,2359,4,1629
REF-145175,11,830,7,785,2,621
REF-143473,10,3598,38,2949,31,3423
REF-109320,28,4913,22,3500,9,3893
REF-126819,4,2029,4,1839,6,1979
REF-104392,5,1737,15,2118,8,1642
REF-136934,2,690,3,464,3,558
REF-118184,8,4149,8,3960,15,2231
REF-136654,40,3817,4,2016,4,1359
REF-117611,2,769,1,413,1,439
REF-128320,1,139,1,78,1,61
REF-124507,4,1844,22,1739,3,1130
REF-107170,1,136,1,132,1,154
REF-109535,13,3800,6,2088,5,2436
REF-105688,8,4329,6,2999,8,2904
REF-106903,13,963,2,975,2,936
REF-101513,6,1578,1,815,4,843
REF-113392,5,1586,12,1666,2,887
REF-129812,6,2229,13,2839,48,3473
REF-104614,7,2045,4,1305,10,1644
REF-134948,13,4062,16,4447,27,3557
REF-148189,6,2231,6,2789,5,1402
REF-109306,8,1535,13,1272,3,1179
REF-129641,25,3107,16,1824,4,2214
REF-107851,9,4885,8,3284,12,3210
REF-148000,9,2983,32,3515,54,4109
REF-104731,16,4818,12,5268,15,5199
REF-127219,7,3375,15,2306,11,2314
REF-141597,1,194,1,101,1,98
REF-143029,1,277,1,238,1,160
REF-136643,1,117,1,105,1,63
REF-141840,65,4115,21,4416,14,3823
REF-141890,16,4682,15,5577,16,5981
REF-107703,27,3667,17,4397,13,3465
REF-148425,1,148,1,94,1,110
REF-126312,10,4875,15,4289,6,2581
REF-128313,17,4100,11,3748,9,4151
REF-128888,12,4305,21,4990,51,4149
REF-105064,13,1611,17,2011,5,1102
REF-149073,8,2734,4,1414,12,1707
REF-105356,32,2701,6,1366,4,1663
REF-145215,2,1189,8,1391,19,1042
REF-120837,17,2735,17,2738,8,1854
REF-115831,8,3755,22,4016,10,3839
REF-122008,10,3262,16,2800,8,3229
REF-118574,17,4346,8,3339,10,3282
REF-107098,9,3914,44,3108,30,3720
REF-141759,4,716,1,614,8,550
REF-135831,13,2356,47,2618,6,3065
REF-140834,2,439,1,332,1,420
REF-118469,5,1456,1,870,2,968
REF-108400,26,4685,8,2730,6,2257
REF-126625,9,3326,5,1732,5,916
REF-106177,17,2395,13,1774,2,978
REF-149803,16,2495,27,3077,14,3187
REF-107946,6,2073,25,1292,3,1493
REF-108511,11,4677,10,3130,13,3704
REF-102604,10,4774,28,4056,16,3741
REF-123686,17,4012,13,3157,12,3318
REF-109263,16,1971,6,1990,12,1964
REF-116072,1,214,1,108,1,54
REF-122786,1,264,1,295,2,353
REF-142245,23,3180,6,2096,7,2333
REF-137910,81,4504,25,5543,31,3732
REF-138583,25,4829,22,6051,35,7241
REF-114652,12,2931,14,1904,35,1977
REF-141624,4,1302,4,931,4,1151
REF-144844,8,4070,10,3220,19,3590
REF-145484,1,716,2,721,12,866
REF-119811,24,4684,7,3142,20,2779
REF-104775,4,2188,3,1250,8,1122
REF-135002,25,3186,9,4006,26,4528
REF-124260,6,2416,13,2602,4,1641
REF-104196,46,3004,9,3053,10,3017
REF-149570,8,2122,5,2034,11,1228
REF-131217,11,818,3,638,3,361
REF-118446,8,3183,7,2599,23,2527
REF-109424,33,2825,8,3130,50,3183
REF-124896,42,4864,22,3721,41,3734
REF-142128,15,4158,41,3337,9,4102
REF-124539,14,4290,15,4679,5,2462
REF-128881,14,4455,44,4634,10,4218
REF-116957,20,4837,35,5000,14,6160
REF-138638,3,464,10,599,2,725
REF-105576,3,1257,2,779,4,919
REF-102873,1,101,1,54,1,47
REF-108566,33,4863,24,5204,27,6510
REF-109076,34,4962,75,3756,16,3654
REF-129368,9,3331,31,3567,10,3068
REF-110400,9,1269,7,1276,2,856
REF-137231,1,502,1,313,2,340
REF-119780,14,2814,8,1604,2,863
REF-109697,2,1066,10,1281,9,693
REF-120139,17,2950,7,1970,8,2217
REF-118919,4,1280,5,1550,12,1365
REF-122630,9,4846,10,4815,40,5957
REF-126494,8,1638,17,2075,15,1482
REF-144302,7,2393,6,2608,11,1763
REF-107178,4,2066,5,1718,3,1336
REF-108905,6,1676,2,1030,6,1124
REF-132029,6,2497,3,1275,4,1065
REF-110408,43,3297,9,3113,6,2246
REF-121642,6,1677,6,1222,7,1032
REF-130092,9,3338,6,1828,9,2097
REF-100491,6,637,2,539,1,315
REF-104090,26,2572,10,2408,9,1780
REF-131469,12,3310,7,2525,10,1938
REF-126978,42,3352,13,3484,11,3044
REF-127649,10,3392,10,2607,14,2524
REF-103152,28,3249,39,2966,7,1970
REF-145884,1,266,1,338,4,341
REF-108763,7,1678,2,959,3,774
REF-100075,15,4743,16,4468,8,2353
REF-127018,13,765,10,624,1,326
REF-114787,1,334,1,189,1,172
REF-122161,7,2533,22,2180,9,1110
REF-146742,10,4205,7,3365,8,3583
REF-114360,11,2895,23,1863,13,1887
REF-143951,9,3748,32,2124,7,1624
REF-120506,18,3274,6,2546,5,2200
REF-107133,7,1784,6,1978,11,2264
REF-120502,38,3791,6,2763,5,1515
REF-102919,24,3975,11,2600,6,2227
REF-132187,13,4468,15,2944,8,3495
REF-115744,7,1399,2,833,5,605
REF-110994,1,524,1,516,2,474
REF-120688,6,1387,3,1627,4,1145
REF-103863,9,4496,11,4579,7,2988
REF-127244,9,4489,40,4338,9,2202
REF-112867,6,1072,10,1358,4,988
REF-136101,6,1753,13,2132,4,1156
REF-142897,3,593,3,640,1,803
REF-108082,36,4033,59,3085,5,1888
REF-112618,10,4994,104,5222,32,3656
REF-136401,3,1459,14,1889,9,1493
REF-105713,33,3679,5,2250,8,2783
REF-122148,7,1692,9,2001,31,1866
REF-116451,7,3654,50,3104,23,3988
REF-124281,9,3655,16,4557,27,3213
REF-131087,16,4920,12,4910,11,2662
REF-126252,20,4823,8,2919,11,3461
REF-140788,1,330,6,421,1,422
REF-119703,3,1022,5,1022,2,741
REF-126479,9,3542,11,4122,11,3717
REF-105340,13,2151,5,1169,4,1193
REF-100675,14,4534,9,3075,32,2423
REF-106973,7,659,2,603,4,635
REF-131323,12,4365,10,3000,23,3731
REF-131350,35,2179,5,2516,11,2404
REF-122071,4,1723,4,1448,15,1453
REF-123627,1,333,1,207,1,208
REF-144376,10,4375,7,3239,9,3555
REF-111947,8,3895,12,2334,5,2207
REF-116520,2,582,2,755,11,918
REF-138406,14,3021,5,2648,7,1560
REF-139537,1,441,2,510,1,648
REF-120214,1,15,1,14,1,17
REF-130877,3,1031,6,593,2,428
REF-121209,28,4802,18,6195,10,3155
REF-102494,9,2936,14,2692,6,2469
REF-124256,8,3773,13,4279,10,4191
REF-143588,6,2851,6,2289,3,1689
REF-123083,1,64,1,47,1,34
REF-134864,8,2851,6,2351,18,2291
REF-102618,13,2458,5,1480,5,1266
REF-116849,6,2612,7,2457,5,1522
REF-118838,26,3412,8,3295,7,2672
REF-149685,7,1500,4,1260,2,1332
REF-123372,34,4273,5,2294,7,2631
REF-114829,10,1314,5,1395,4,1645
REF-119985,11,4550,30,5811,74,4488
REF-139453,3,786,2,889,1,846
REF-128511,24,3058,44,3590,6,3060
REF-137423,10,4214,6,2493,11,1592
REF-149205,4,1302,14,1320,12,1258
REF-101663,8,4361,17,4244,15,4056
REF-143107,2,1171,7,1455,3,1242
REF-121901,10,3787,17,4270,16,3206
REF-109487,1,165,1,188,1,158
REF-141243,19,4275,96,5331,65,4156
REF-137461,4,1199,1,630,2,326
REF-100280,3,1886,16,1554,4,1313
REF-126616,27,4234,5,2561,5,2314
REF-122026,7,2530,7,2120,6,2208
REF-124822,14,2621,12,2841,9,1788
REF-138518,55,4251,24,5323,7,3314
REF-128310,1,211,1,129,1,100
REF-131763,14,4402,7,3132,12,3714
REF-109585,21,4938,90,5875,10,4960
REF-108857,2,1032,1,585,2,557
REF-124639,1,495,6,568,1,414
REF-126619,4,1948,16,1696,38,1994
REF-139561,2,947,2,954,6,886
REF-144228,12,4090,15,4335,17,3947
REF-105509,42,4971,26,6311,16,3501
REF-138797,13,3966,37,4138,7,3317
REF-110284,6,1882,7,1973,3,1434
REF-102448,15,3849,11,4843,7,2935
REF-140017,19,1230,2,1153,2,864
REF-122437,10,4540,17,3164,26,2779
REF-144741,6,3046,9,1600,3,1581
REF-102721,1,924,2,1082,1,800
REF-147298,10,2588,15,3200,10,3484
REF-130945,5,1366,7,1200,2,832
REF-109005,10,4854,14,5125,24,6415
REF-128659,7,3163,9,2906,3,1936
REF-113257,4,894,6,574,3,638
REF-123139,15,3573,10,3405,23,3346
REF-108161,29,3102,16,3312,6,2509
REF-106626,10,4528,12,4778,12,5602
REF-104887,1,430,2,374,4,414
REF-100610,44,3140,11,2401,6,2734
REF-116867,16,4428,24,2754,8,3400
REF-139218,11,1533,10,1693,3,1375
REF-109547,10,4311,6,2599,9,2228
REF-112180,21,2356,29,2506,9,1410
REF-113653,48,4556,12,4015,9,4107
REF-138751,16,2458,2,1416,13,1719
REF-132352,12,3183,38,3281,13,3938
REF-148997,8,3610,25,2450,8,1595
REF-146465,7,3358,5,1931,5,1537
REF-131875,9,1735,4,1861,4,1301
REF-107709,2,833,1,442,6,534
REF-127778,5,657,1,362,1,440
REF-116436,45,3510,6,2458,4,1691
REF-139997,23,2169,6,1212,4,1055
REF-116740,9,4418,24,4263,13,5054
REF-113007,13,2517,12,1414,7,1501
REF-137430,10,3404,4,2200,5,1648
REF-117531,6,2235,5,2438,6,2483
REF-147399,4,1948,12,1604,23,1836
REF-143309,21,4888,24,6092,31,6887
REF-123853,7,3244,4,2019,6,2041
REF-136478,8,3003,5,2054,33,1819
REF-135826,2,178,1,192,1,235
REF-130973,20,1088,3,1131,8,977
REF-115475,28,4127,7,3206,8,2954
REF-144147,55,3110,9,3493,7,2404
REF-146175,16,2648,7,3402,14,1992
REF-146005,14,2483,4,1941,6,2109
REF-137444,5,1794,5,1653,2,960
REF-120302,1,334,1,172,1,199
REF-111974,21,2924,5,2195,4,1758
REF-146445,6,3090,6,3179,20,2012
REF-144642,14,3868,19,3011,19,3275
REF-120756,4,861,2,954,9,1175
REF-119089,18,2540,15,1567,5,1380
REF-141022,1,472,2,538,3,368
REF-120835,9,3733,13,4387,9,4405
REF-125400,16,3512,5,2062,5,2207
REF-127694,9,3760,7,3509,5,2432
REF-107750,36,4956,83,5374,16,4867
REF-120778,6,1047,8,954,1,970
REF-107888,10,1691,3,1288,2,780
REF-111407,8,2616,23,3120,26,2184
REF-116184,1,706,6,638,1,380
REF-149424,8,3449,17,3778,12,2003
REF-134806,10,4805,10,3083,10,1599
REF-122452,32,4184,22,4569,17,2770
REF-108761,12,1964,14,1185,3,1416
REF-108810,9,3710,51,4751,8,3407
REF-106134,3,984,12,1102,7,863
REF-144847,7,2688,30,2358,12,2147
REF-126663,8,2897,10,2520,43,2195
REF-104250,12,1847,4,1843,20,1210
REF-127734,4,1870,4,1740,4,1404
REF-108850,10,2342,5,1573,4,1861
REF-128014,5,2294,12,1344,9,1335
REF-128684,18,3580,5,2581,15,1917
REF-149337,3,411,4,521,1,442
REF-126284,2,941,1,645,1,747
REF-145477,16,4352,52,2839,5,1866
REF-131776,8,1702,4,1253,3,1492
REF-117875,20,4838,52,3775,30,3992
REF-110361,7,2130,7,1863,6,2151
REF-143974,15,2532,10,1742,9,1514
REF-128788,25,3130,10,2274,6,1368
REF-106922,5,2691,13,1770,3,1375
REF-136633,6,2825,4,1858,2,1245
REF-136197,20,4924,5,2775,10,3546
REF-145482,16,1466,4,1820,11,1079
REF-128159,11,4215,6,3464,6,2657
REF-144006,20,2390,8,1770,11,961
REF-103914,20,3335,12,3380,5,2037
REF-116649,17,4206,56,3174,5,2189
REF-143424,17,4587,10,5394,10,4168
REF-137557,1,219,1,149,1,128
REF-132018,45,3932,11,3993,15,4899
REF-109692,6,1843,4,1512,22,1472
REF-124403,1,664,1,519,5,390
REF-124190,17,4705,87,5007,7,3567
REF-105658,7,3363,9,3036,10,2028
REF-112477,4,1597,5,1548,5,1191
REF-131957,2,619,2,570,5,576
REF-145159,9,1644,13,1878,16,1146
REF-144059,6,1779,8,1698,16,1952
REF-110960,6,2968,3,1933,10,1275
REF-128045,8,2278,18,2599,4,2179
REF-132427,30,2281,3,1252,12,901
REF-120322,52,4554,9,3916,4,2240
REF-131949,35,4773,14,5064,14,6290
REF-107725,12,4105,9,2080,7,2062
REF-141626,8,2389,4,2357,5,1406
REF-108472,6,2130,5,2156,6,1838
REF-105500,6,3300,7,2654,10,2004
REF-138075,18,3937,46,4898,14,4895
REF-142139,5,1471,4,1770,3,1698
REF-126361,1,737,1,536,1,280
REF-143558,10,2837,5,2580,20,3261
REF-147966,6,1191,14,1216,12,1497
REF-139471,28,4174,16,3535,11,3330
REF-134637,8,1218,17,1546,3,1141
REF-138422,22,4461,49,3743,20,3537
REF-132324,12,2786,3,1883,32,2083
REF-128772,7,2640,4,1461,3,1539
REF-117958,44,4319,28,2646,3,1332
REF-116899,38,3586,77,4445,29,4684
REF-127877,5,1514,1,767,2,537
REF-124495,18,4201,10,4752,11,4350
REF-136141,31,4811,13,5565,25,6318
REF-118730,23,4328,14,4120,10,3771
REF-112881,24,4749,22,3884,18,2498
REF-139467,3,1572,2,1081,3,1211
REF-105830,5,1920,4,1727,10,2213
REF-144685,3,1460,12,1861,11,2038
REF-113368,9,2914,11,3252,7,2545
REF-110965,15,3904,23,3143,6,3042
REF-102590,10,3316,5,2243,9,2087
REF-143687,4,1101,3,1130,3,1463
REF-101287,12,2642,12,2777,4,1647
REF-135632,3,1675,3,1631,6,1399
REF-137482,4,1813,7,1735,2,1041
REF-148228,37,2149,5,1093,2,1003
REF-132192,16,2329,23,2769,28,1484
REF-140320,9,2707,22,3267,8,1676
REF-110291,18,1203,7,1433,3,1224
REF-107819,4,1364,14,1002,1,856
REF-104237,33,4553,20,2910,7,2192
REF-129977,1,311,3,359,1,219
REF-111522,36,4930,12,5557,28,6480
REF-144760,8,2012,7,2055,7,1058
REF-125386,3,1303,5,1133,4,1172
REF-103081,3,559,1,462,1,519
REF-111115,3,1371,3,1216,4,1459
REF-103285,1,681,3,802,1,443
REF-147720,7,530,3,273,1,271
REF-129639,14,3834,27,3327,13,1954
REF-143983,27,2427,3,1543,4,1715
REF-133368,11,2766,14,1663,11,1131
REF-116419,1,391,1,355,1,191
REF-136980,3,1519,4,1175,5,1359
REF-147293,2,1132,1,646,2,667
REF-112863,4,1834,3,1769,16,1907
REF-110125,14,710,4,897,2,724
REF-111167,1,509,1,257,1,279
REF-108995,3,1855,2,1147,2,1011
REF-138593,4,674,1,806,1,570
REF-120158,6,1088,2,797,2,781
